"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"A50.49","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.5","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.51","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.52","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.53","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.54","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.55","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.56","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.57","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.59","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.6","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.7","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A50.9","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.0","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.1","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.2","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.3","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.31","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.32","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.39","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.4","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.41","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.42","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.43","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.44","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.45","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.46","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.49","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.5","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A51.9","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.0","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.00","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.01","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.02","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.03","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.04","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.05","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.06","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.09","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.10","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.11","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.12","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.13","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.14","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.15",357,"356-359.99","Disorders of the peripheral nervous system"
"A52.15","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.16",713.5,"710-716.99","Arthropathies"
"A52.16","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.17","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.19","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.2","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.3","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.7","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.71","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.72","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.73","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.74","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.75","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.76","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.77","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.78","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.79","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.8","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A52.9","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A53","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A53.0","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A53.9","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.0","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.00","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.01","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.02","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.03","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.09","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.1","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.2","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.21","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.22","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.23","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.24","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.29","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.3","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.30","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.31","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.32","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.33","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.39","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.40","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.41","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.42",711,"710-716.99","Arthropathies"
"A54.43","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.49","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.5","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.6","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.81","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.82","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.83","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.84","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.85","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.86",994.2,"994-994.99","Sepsis and SIRS"
"A54.86","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.89","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A54.9","090.2","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A55","090","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A56.0","090.3","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A56.00","090.3","090-092.99","Sexually transmitted infections (not hiv or hepatitis)"
"A56.01",592.1,"590-593.99","Urinary tract infections"
